"encriptado"	"periodo"	"sat entel"	"literal"
"90"	"xCzjKbwESj40"	"2020_q2"	2	"QUE MEJORARA LA ATENCION Y QUE MEJORARA LA LPABOR CON CADA UNO CON SU CLIENTES SOY CLIENTE CON MUCHAS AÑOS LA NEGOCIASION Y ATENCION CORRESPONDIENTE A LOS AÑOS CON LA EMPRESA"
"91"	"3QZufFN2TuNN"	"2018_q1"	4	"SC"
"92"	"0BlMrZ7Z3Sx9"	"2018_q2"	7	"SC"
"93"	"FH07N10vaKP3"	"2019_q2"	5	"QUE CUMPLAN LO QUE OFRECEN EN CUANTO A PLANES-"
"94"	"QfXMO9t4WnZX"	"2020_q2"	6	"SC"
"95"	"hAqwp7qRBtNL"	"2019_q2"	7	"QUE DEBERIAN MEJORAR LAS COBERTURAS"
"96"	"3BlFjZ9bYWd2"	"2019_q2"	4	"QUE SEAN MAS ACESIBLE SI UNO QUIERE DAR DE BAJA NO ESTEN COBRANDO DEMASIADO POR QUE ES MUY EXCESIVO LO QUE ESTAN COBRANDO"
"97"	"3BlFjZ9bYWd2"	"2018_q2"	7	"0"
"98"	"2o0U5f6vIHyW"	"2018_q1"	3	"EL SERVICIO NO ES COMO ME LO VENDIERON"
"99"	"2o0U5f6vIHyW"	"2018_q2"	4	"0"
"100"	"FN8dD0nza2y6"	"2018_q1"	3	"NC"
"101"	"oJMcLMdy0TTr"	"2020_q1"	1	"BAKAR LA SMENSUALIDAD QEU SON DEMACIADO CARAS EN COMPARACION CON OTROS LUGARES DE CHILE VELOCIDAD PAGANDO LO QEU APGO ES MUY POCA LA VELOCIDAD QEU TENGO"
"102"	"ahitMGLEO2oP"	"2018_q2"	6	"S/C"
"103"	"xlV8WELlQ40f"	"2019_q2"	7	"0"
"104"	"PJp98LQbkrjk"	"2018_q1"	5	"PORCONSERVAR ELCLIENTE  MEOFRECIERON OTRO PLAN Y SALI PARA ATRAS NODAN SOLUCIONES"
"105"	"FnZxrD8Efria"	"2018_q1"	6	"SC"
"106"	"W0oOUo01qswR"	"2021_q1"	6	"QUE LA PARTE DE EQUIPAMIENTO QUE SE LE DA AL CLIENTE  DEBERIA SER CAMBIADO CADA AÑO NO CADA AÑO 8 MESES"
"107"	"W0oOUo01qswR"	"2020_q2"	5	"QUE SE PREOCUPEN DE LOS CLIENTES ACTUALES  DE LLAMARLOS Y SI ES EMPRESA MEJORAR LOS COSTOS YA QUE LA COMPETENCIA ESTA MAS BAJA QUE ENTEL  Y ESTAMOS VIENDO EL CAMBIO"
"108"	"5deuUvP3yEoh"	"2019_q1"	1	"MEJORAR LA ATENCION EN TODO NO SE PREOCUPAN DE NADA ESA ES LA  RAZON POR LA CUAL  ESTAMOS  ESTA EMIGRANDO"
"109"	"5deuUvP3yEoh"	"2020_q1"	5	"PREOCUPARCE MAS D ELOS CLIENTE ESTAS LINEAS 6000 Y ASTERISCO VENTA UN 7 PERO CUANDO HAY QUE MEJORAR EL SERVICIO PONEN SU MUSIQUITA"
"110"	"nuPMABEXbFrT"	"2018_q1"	6	"SC"
"111"	"aHsgTFRjxdX3"	"2018_q1"	4	"HE TENIDO PROBLEMAS CON ENTEL Y NO ME LOS HAN SOLUCIONADO Y AL EXTREMO QUE HE TENIDO QUE TUITEAR PARA QUE ME PUEDAN ATENDER  PORQUE POR TELEFONO NO ME PUEDO COMUNICAR,HE TENIDO MUCHOS PROBLEMAS DE SEÑAL Y COBERTURA E INCLUSO EL MIERCOLES PASADO ME FUI DE VACACIONES A LA CIUDAD DE TALTAL Y NO TENIAN COBERTURA Y PERDI MUCHAS LLAMADAS IMPORTANTES Y POR ESE PROBLEMA DE COBERTURA ME TUVE QUE DEVOLVER"
"112"	"Utn72EeyMdSX"	"2020_q2"	6	"MAYOR RAPIDEZ  EN LA ATENCION"
"113"	"MLJhZSainHrc"	"2020_q2"	7	"TIENE PROBLEMAS MUY SEGUIDO CON LA LINE ES MAS BIEN PROBLEMA TECNICO, LA ATENCION AL CLIENTE ES BASTANTE RAPIDA"
"114"	"hILdQkhOSqUf"	"2019_q1"	7	"QUE TUVIERAN EJECUTIVOS EN LA CIUDAD COMO ANTES"
"115"	"hILdQkhOSqUf"	"2019_q2"	4	"QUE NO HAGAN TANTA ROTACION DE PERSONAL"
"116"	"jnn8wGwoYhl1"	"2018_q1"	5	"SC"
