...1	ola - Ola Medicion	F1 - F1. ¿Es usted la persona que administra la (s) cuenta (s) que su empresa tiene con el (los) operadores de productos o servicios móviles?	"P1 - I. MODULO INDICADORES GENERALES 
    
       1. En su empresa, ¿con qué compañías tiene contratado los servicios de telefonía celular como teléfonos o banda ancha móvil? (MÚLTILPLE; LEER OPCIONES)"	EMPTY LABEL - No Information Provided...5	P2 - P2. De las empresas con las cuales tiene contratados los servicios Móviles, nos podría decir ¿Cuál es la principal? (RESPUESTA ÚNICA)	"P3 - AHORA HABLAREMOS DE SU RELACIÓN CON ENTEL 
     
           3. Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 = Muy insatisfecho y 7= Muy satisfecho, ¿Cuán satisfecho está Ud. con ENTEL?"	p4_COD - 4. ¿Por qué evalúa con esa nota? (sondear y profundizar) LITERAL	"P5__1 - a)	Entel es una empresa con buena imagen en general  :"	"P6 - 6.	¿Y con qué nota de 1 a 7 donde 1 es muy insatisfecho y 7 es muy satisfecho, Cómo evalúa a Entel en cuanto a la Calidad y Cobertura de las llamadas?"	"P7 - 7.	Y siguiendo la misma escala de 1 a 7 ¿Cómo evalúa a Entel en cuanto al servicio de Internet a través del celular?"	P8__1 - a) Precio del Plan en relación al mercado (Competitividad) :	P8__2 - b) Competitividad de planes en cuanto a minutos :	P8__3 - c) Competitividad de planes en cuanto a Internet Móvil o internet en su celular :	P8__4 - d) El precio de los equipos en relación al mercado. :	"P9 - 9.	Y en lo que respecta a Servicio a Clientes, ¿cuán satisfecho está con ENTEL? Escala 1 a 7"	P10__1 - Contratación de nuevas líneas :	"P10__2 - 'Consultas de la factura; como fechas de pago, montos, detalles de cobros.' :"	P10__3 - Consultas sobre el detalle de tráfico de minutos o datos de sus equipos móviles :	P10__4 - Solicitar cambio de plan :	P10__5 - Servicio Técnico por falla de equipo celular o Banda Ancha Móvil :	P10__6 - Solicitar cambio de equipo por pérdida o renovación (NO por Servicio Técnico) :	P11__1 - Contratación de nuevas líneas :	"P11__2 - 'Consultas de la factura; como fechas de pago, montos, detalles de cobros.' :"	P11__3 - Consultas sobre el detalle de tráfico de minutos o datos de sus equipos móviles :	P11__4 - Solicitar cambio de plan :	P11__5 - Servicio Técnico por falla de equipo celular o Banda Ancha Móvil :	P11__6 - Solicitar cambio de equipo por pérdida o renovación (NO por Servicio Técnico) :	P12__1 - Contratación de nuevas líneas :	"P12__2 - 'Consultas de la factura; como fechas de pago, montos, detalles de cobros.' :"	P12__3 - Consultas sobre el detalle de tráfico de minutos o datos de sus equipos móviles :	P12__4 - Solicitar cambio de plan :	P12__5 - Servicio Técnico por falla de equipo celular o Banda Ancha Móvil :	P12__6 - Solicitar cambio de equipo por pérdida o renovación (NO por Servicio Técnico) :	P13__1 - Ejecutivo asignado :	P13__2 - Equipo de ejecutivos llamado Círculo de Atención Preferente - CAP :	P13__3 - Call Center Empresa :	P13__4 - Página Web Empresa (Todos) :	P13__5 - Tiendas/ Sucursales (Todos) :	P13__6 - App administradores empresas (Todos) :	P14__1 - Ejecutivo asignado :	P14__2 - Equipo de ejecutivos llamado Círculo de Atención Preferente - CAP :	P14__3 - Call Center Empresa :	P14__4 - Página Web Empresa (Todos) :	P14__5 - Tiendas/ Sucursales (Todos) :	P14__6 - App administradores empresas (Todos) :	"P15__1 - a)	El Proceso de Facturación en general :"	"P15__2 - b)	La Exactitud de los cobros :"	"P15__3 - c)	La Claridad de la factura :"	"P15__4 - d)	La Facilidad para realizar el pago :"	"P16 - IV.	MODULO INCIDENCIAS 
             16. En los últimos 3 meses, ¿ha tenido algún problema con el servicio entregado por Entel a su empresa?"	P17_COD - 17. ¿Qué problemas ha tenido? Sondear	"P18 - LEALTAD 
         18. Utilizando una escala de 1 a 7, donde 1 significa nada dispuesto y 7 significa muy dispuesto, ¿Qué tan dispuesto estaría usted a continuar con Entel?"	P19 - 19. Pensando en este periodo de crisis Covid-19 ¿Cuan satisfecho está con ENTEL como proveedor de servicios de telecomunicaciones? Escala de 1 a 7, 99= No sabe/no responde	P20 - 20. ¿Aceptaría que Entel conozca sus respuestas y lo contactara para entender en profundidad sus requerimientos/necesidades?	SEG_CORFO	"P23 - 23.	¿Cuál es el rubro de su empresa?"	"P25 - 25.	¿Ciudad o Comuna de Ubicación de su Empresa?"	"P28 - 28.	Sexo  (No preguntar):"	"P29 - 29.	REGION (no preguntar):"	EMPTY LABEL - No Information Provided...61	EMPTY LABEL - No Information Provided...62	EMPTY LABEL - No Information Provided...63	EMPTY LABEL - No Information Provided...64	EMPTY LABEL - No Information Provided...65
z3Wt5e7wVo49	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	3	Mala cobertura,Cobros poco claros	6	3	3	5	5	5	3	4	Si	Si	Si	Si	No	No	6	5	4	5	NA	NA	4.En tiendas/ sucursales	2.Call center,4.En tiendas/ sucursales	2.Call center,4.En tiendas/ sucursales	4.En tiendas/ sucursales	NA	NA	NA	NA	Sí	Sí	Sí	No	NA	NA	3	5	5	NA	4	1. Muy Insatisfecho	1. Muy Insatisfecho	6	SI	Cobros poco claros	4	4	Sí	PEQUEÑA	AGRICOLA	SAN IGNACIO	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
uGBZKzDnElxY	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	7. Muy Satisfecho	Buen servicio / calidad servicio,No ha tenido problemas,Buena señal	7. En absoluto acuerdo	7. Muy Satisfecho	6	6	7. Muy Satisfecho	6	4	7. Muy Satisfecho	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	No	No	No	NA	NA	3	NA	NA	NA	5	5	5	7. Muy Satisfecho	NO	NA	5	6	Sí	PEQUEÑA	Transporte	Santiago, comnuna de lampa	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
xSxzfHu2cgXQ	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	No solucionan problemas	7. En absoluto acuerdo	5	5	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	5	5	Si	Si	Si	Si	No	Si	6	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NA	5	4.En tiendas/ sucursales	3.Página Web Entel Empresas	3.Página Web Entel Empresas	4.En tiendas/ sucursales	NA	4.En tiendas/ sucursales	NA	NA	No	No	No	No	NA	NA	NA	NA	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	Sí	MICRO	MADERA FORESTAL, SERVICIO FORESTAL	PADRE DE LAS CASAS	Mujer	REGIONES	Mas	Masivo	MICRO Y SOHO	Fijo	Stock Movil
ZIcP6LbWpDfo	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	5	Caro	6	7. Muy Satisfecho	5	4	5	5	6	4	No	No	No	Si	No	No	NA	NA	NA	5	NA	NA	NA	NA	NA	4.En tiendas/ sucursales	NA	NA	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	6	NO	NA	5	7. Muy Satisfecho	Sí	MEDIANA	CONSTRUCCIÓN	SAN BERNARDO	Hombre	SANTIAGO	MV	Mediana	MEDIANAS	Móvil	Stock Movil
KbHP0NOlm9Q4	MEDICION SEPTIEMBRE 2020	Sí	Entel,Otros	gtd	Entel	5	Mal servicio / calidad servicio,Caro	6	5	5	4	4	4	6	6	No	Si	Si	Si	No	No	NA	5	5	5	NA	NA	NA	3.Página Web Entel Empresas	5.App Administradores Empresa	5.App Administradores Empresa	NA	NA	NA	NA	No	Sí	No	Sí	NA	NA	NA	6	NA	6	6	6	5	7. Muy Satisfecho	SI	Cobertura sin especificar	5	5	Sí	MICRO	PUBLICIDAD.	ÑUÑOA.	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
9PG9EijMXjQ6	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	7. Muy Satisfecho	Buena atencion,Buena cobertura	7. En absoluto acuerdo	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	Ns/Nr	7. Muy Satisfecho	No	Si	No	Si	No	No	NA	7. Muy Satisfecho	NA	7. Muy Satisfecho	NA	NA	NA	3.Página Web Entel Empresas	NA	2.Call center	NA	NA	NA	NA	Sí	Sí	Sí	Sí	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	Sí	PEQUEÑA	ASEOSRIAS	CONCEPCION	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
JhZNHZ3pQvCL	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	7. Muy Satisfecho	Buena señal	7. En absoluto acuerdo	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	Ns/Nr	7. Muy Satisfecho	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	No	NA	NA	NA	NA	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	Sí	PEQUEÑA	VENTA DE REPUESTOS AGRÍCOLAS	SAN CRUZ	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QgMRKMeAP7M3	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	Mal servicio postventa	6	6	5	5	6	Ns/Nr	Ns/Nr	6	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	Sí	No	NA	NA	NA	NA	5	NA	6	6	6	6	NO	NA	6	6	Sí	MICRO	comercializadora	talca	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
ZXs6P7gLGqyh	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	7. Muy Satisfecho	No ha tenido problemas,Buena cobertura	7. En absoluto acuerdo	7. Muy Satisfecho	6	5	7. Muy Satisfecho	7. Muy Satisfecho	6	6	Si	Si	Si	No	Si	Si	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NA	7. Muy Satisfecho	7. Muy Satisfecho	1.Ejecutivo asignado para su empresa	5.App Administradores Empresa	4.En tiendas/ sucursales	NA	4.En tiendas/ sucursales	4.En tiendas/ sucursales	No	Sí	Sí	Sí	Sí	Sí	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	6	Sí	MEDIANA	Servicios agrícolas.	Pto Montt.	Mujer	REGIONES	MP	Mediana	MEDIANAS	Móvil	Stock Movil
KANz1AzlUr0c	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	5	Malas señal telefónica	5	5	5	3	3	3	4	4	Si	Si	No	Si	No	No	7. Muy Satisfecho	7. Muy Satisfecho	NA	5	NA	NA	3.Página Web Entel Empresas	3.Página Web Entel Empresas	NA	2.Call center,3.Página Web Entel Empresas	NA	NA	NA	NA	Sí	Sí	No	No	NA	NA	6	6	NA	NA	6	6	6	7. Muy Satisfecho	SI	Señal de internet, se cae, lento	6	6	Sí	MICRO	INGENERIA	PUENTE ALTO	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
94dHtg70zeJY	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	7. Muy Satisfecho	No ha tenido problemas	7. En absoluto acuerdo	7. Muy Satisfecho	7. Muy Satisfecho	6	7. Muy Satisfecho	7. Muy Satisfecho	5	7. Muy Satisfecho	Si	Si	Si	Si	No	Si	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NA	6	1.Ejecutivo asignado para su empresa	3.Página Web Entel Empresas	3.Página Web Entel Empresas	1.Ejecutivo asignado para su empresa	NA	1.Ejecutivo asignado para su empresa	Sí	NA	No	Sí	No	No	7. Muy Satisfecho	NA	NA	6	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	6	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	Sí	PEQUEÑA	CONSTRUCCION	SANTIAGO CENTRO	Hombre	SANTIAGO	AV	GGEE	GRANDES CUENTAS	Móvil	Stock Movil
M5vXv9U0O37d	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	7. Muy Satisfecho	No ha tenido problemas,Buen servicio / calidad servicio	7. En absoluto acuerdo	7. Muy Satisfecho	5	7. Muy Satisfecho	7. Muy Satisfecho	5	7. Muy Satisfecho	7. Muy Satisfecho	No	Si	Si	Si	No	No	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NA	NA	NA	2.Call center,3.Página Web Entel Empresas	3.Página Web Entel Empresas	2.Call center,3.Página Web Entel Empresas	NA	NA	NA	NA	No	Sí	No	No	NA	NA	NA	7. Muy Satisfecho	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	Sí	PEQUEÑA	FABRICACIÓN ESTRUCTURAS METÁLICAS	ARICA	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Convergente	Stock Movil
p7mXsilqOT5q	MEDICION SEPTIEMBRE 2020	Sí	Entel,Movistar	NA	Entel	5	Buen servicio / calidad servicio,Mala señal,Problema facturación	5	5	5	6	5	5	5	6	Si	Si	No	Si	Si	No	6	5	NA	5	5	NA	1.Ejecutivo asignado para su empresa	1.Ejecutivo asignado para su empresa	NA	1.Ejecutivo asignado para su empresa	4.En tiendas/ sucursales	NA	Sí	NA	Sí	Sí	No	Sí	7. Muy Satisfecho	NA	7. Muy Satisfecho	4	NA	4	5	5	6	6	NO	NA	5	5	Sí	GGEE	RECURSOS HUMANOS	NUÑOA	Hombre	SANTIAGO	AV	GGEE	GRANDES CLIENTES	Móvil	Stock Movil
im6Gs6g0Pwsu	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	5	Caro,Problemas con equipos / calidad /reposición /cambio	7. En absoluto acuerdo	7. Muy Satisfecho	6	5	3	5	5	6	Si	Si	Si	Si	Si	Si	6	5	5	6	6	3	1.Ejecutivo asignado para su empresa	1.Ejecutivo asignado para su empresa	1.Ejecutivo asignado para su empresa	1.Ejecutivo asignado para su empresa	3.Página Web Entel Empresas	1.Ejecutivo asignado para su empresa	Sí	NA	Sí	Sí	No	Sí	6	NA	6	5	NA	6	6	6	6	6	NO	NA	5	6	Sí	GGEE	RECURSOS HUMANOS	NUÑOA SANTIAGO.	Hombre	SANTIAGO	AV	GGEE	GRANDES CLIENTES	Móvil	Stock Movil
viHqZEooJkyf	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	Mala cobertura	6	6	5	6	6	5	3	4	No	Si	Si	No	No	No	NA	5	3	NA	NA	NA	NA	3.Página Web Entel Empresas	3.Página Web Entel Empresas	NA	NA	NA	NA	NA	No	Sí	No	No	NA	NA	NA	5	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	6	7. Muy Satisfecho	NO	NA	5	6	Sí	PEQUEÑA	SERVICIOS MEDICOS E INVERSIONES	PROVIDENCIA	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
xxTR6YPDgcIx	MEDICION SEPTIEMBRE 2020	Sí	Entel,Claro	NA	Entel	7. Muy Satisfecho	Cobros claros,Facturación,Buena comunicación	7. En absoluto acuerdo	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	Si	No	No	No	No	No	7. Muy Satisfecho	NA	NA	NA	NA	NA	2.Call center	NA	NA	NA	NA	NA	No	Sí	No	Sí	No	No	NA	7. Muy Satisfecho	NA	7. Muy Satisfecho	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	Sí	MEDIANA	MANTENCION	CERRILLOS	Mujer	SANTIAGO	MP	Mediana	MEDIANAS	Móvil	Stock Movil
yWnudxZtq7Ff	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	7. Muy Satisfecho	Buen servicio / calidad servicio,No ha tenido problemas	7. En absoluto acuerdo	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	5	7. Muy Satisfecho	5	7. Muy Satisfecho	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	No	NA	NA	NA	NA	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	Sí	PEQUEÑA	EQUIPOS COMPUTACIONES	ESTACION CENTRAL	Mujer	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
Bm79r9C62Vw1	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	5	Mala cobertura,Malas conexiones /conectividad	7. En absoluto acuerdo	5	6	6	7. Muy Satisfecho	7. Muy Satisfecho	6	5	No	No	Si	No	No	No	NA	NA	7. Muy Satisfecho	NA	NA	NA	NA	NA	3.Página Web Entel Empresas	NA	NA	NA	NA	NA	No	No	No	No	NA	NA	NA	NA	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	SI	Problemas con llamadas	5	6	Sí	PEQUEÑA	INGENIERIA EN INFORMATICA	RECOLETA	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
Su9g078wsO30	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	7. Muy Satisfecho	Buen servicio / calidad servicio	7. En absoluto acuerdo	7. Muy Satisfecho	7. Muy Satisfecho	5	5	5	6	7. Muy Satisfecho	Si	Si	No	Si	No	Si	7. Muy Satisfecho	7. Muy Satisfecho	NA	7. Muy Satisfecho	NA	7. Muy Satisfecho	3.Página Web Entel Empresas	3.Página Web Entel Empresas	NA	3.Página Web Entel Empresas	NA	3.Página Web Entel Empresas	NA	NA	No	Sí	No	No	NA	NA	NA	6	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	Sí	MICRO	SERVICIOS VETERINARIOS	LA FLORIDA	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
eVbH3V7MP5vF	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	7. Muy Satisfecho	Buena cobertura,Buena señal	7. En absoluto acuerdo	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	No	Si	No	Si	No	No	NA	7. Muy Satisfecho	NA	7. Muy Satisfecho	NA	NA	NA	2.Call center	NA	2.Call center	NA	NA	NA	NA	No	No	No	No	NA	NA	NA	NA	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	Sí	MICRO	Mnatencion mecanica	Iquique	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
bVS8F9T0BNVC	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	5	Mala cobertura	6	5	5	6	6	6	5	4	Si	No	Si	Si	No	No	6	NA	6	6	NA	NA	2.Call center	NA	5.App Administradores Empresa	2.Call center	NA	NA	NA	NA	No	No	No	No	NA	NA	NA	NA	NA	NA	5	5	5	6	SI	Mala señal,Cobertura sin especificar	6	6	Sí	PEQUEÑA	SERVICIO DE SALUD	PEÑALOLEN	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Fijo	Stock Movil
ZXfbhPDhiSPA	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	Mala cobertura	6	6	7. Muy Satisfecho	5	5	5	5	6	Si	No	No	Si	No	Si	7. Muy Satisfecho	NA	NA	7. Muy Satisfecho	NA	5	3.Página Web Entel Empresas	NA	NA	2.Call center	NA	2.Call center,4.En tiendas/ sucursales	NA	NA	Sí	Sí	No	Sí	NA	NA	6	7. Muy Satisfecho	NA	5	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	SI	Cobertura sin especificar	5	6	Sí	MICRO	ASESORIAS CONTABLES	PEÑAFLOR	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
nrYPPmgTuIg0	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	5	Caro	6	6	6	6	5	6	5	7. Muy Satisfecho	No	Si	Si	No	No	Si	NA	7. Muy Satisfecho	7. Muy Satisfecho	NA	NA	7. Muy Satisfecho	NA	3.Página Web Entel Empresas,5.App Administradores Empresa	3.Página Web Entel Empresas	NA	NA	4.En tiendas/ sucursales	NA	NA	Sí	Sí	Sí	Sí	NA	NA	5	7. Muy Satisfecho	7. Muy Satisfecho	6	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	6	7. Muy Satisfecho	Sí	MICRO	TRANSPORTE	MAIPU	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
GjOOc0BwQTce	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	7. Muy Satisfecho	Buena señal,Rápida solución de problemas,Cobros claros	7. En absoluto acuerdo	7. Muy Satisfecho	6	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	5	7. Muy Satisfecho	No	No	No	No	Si	No	NA	NA	NA	NA	7. Muy Satisfecho	NA	NA	NA	NA	NA	2.Call center,4.En tiendas/ sucursales	NA	NA	NA	No	Sí	No	No	NA	NA	NA	7. Muy Satisfecho	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	Sí	PEQUEÑA	CONSTRUCCIÓN	CONCEPCIÓN	Mujer	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
CNTo0B3SJRI0	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	5	Caro	5	7. Muy Satisfecho	7. Muy Satisfecho	5	5	Ns/Nr	Ns/Nr	6	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	Sí	No	No	No	NA	NA	6	NA	NA	NA	5	6	6	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	Sí	MEDIANA	FABRICACIÓN DE MUEBLES	QUILICURA	Hombre	SANTIAGO	MP	Mediana	MEDIANAS	Móvil	Stock Movil
xcrSCUgOWMd7	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	7. Muy Satisfecho	Buena atencion	7. En absoluto acuerdo	6	6	6	6	6	4	7. Muy Satisfecho	Si	Si	No	No	No	No	7. Muy Satisfecho	7. Muy Satisfecho	NA	NA	NA	NA	3.Página Web Entel Empresas	2.Call center	NA	NA	NA	NA	NA	NA	Sí	Sí	No	No	NA	NA	7. Muy Satisfecho	5	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	Sí	MICRO	esparsimiento	colina/santiago	Mujer	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
4cTyyOS0xiGv	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	Buen servicio / calidad servicio,Caro	7. En absoluto acuerdo	7. Muy Satisfecho	7. Muy Satisfecho	6	6	6	6	7. Muy Satisfecho	No	Si	Si	No	No	No	NA	7. Muy Satisfecho	7. Muy Satisfecho	NA	NA	NA	NA	3.Página Web Entel Empresas	3.Página Web Entel Empresas	NA	NA	NA	NA	NA	Sí	Sí	No	No	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	6	7. Muy Satisfecho	Sí	PEQUEÑA	ASESORIA EN INGENIERIA	LO ESPEJO	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
jBSiTgI7N7nx	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	7. Muy Satisfecho	Buen servicio / calidad servicio,No ha tenido problemas	6	7. Muy Satisfecho	7. Muy Satisfecho	6	6	6	5	6	No	Si	No	No	No	No	NA	7. Muy Satisfecho	NA	NA	NA	NA	NA	3.Página Web Entel Empresas	NA	NA	NA	NA	NA	NA	No	Sí	No	Sí	NA	NA	NA	7. Muy Satisfecho	NA	7. Muy Satisfecho	6	6	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	Sí	PEQUEÑA	ASEO Y JARDIN	SANTIAGO	Mujer	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
ryor1IoobfY3	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	4	Mala cobertura	6	6	4	6	6	3	5	6	Si	Si	No	Si	No	No	6	6	NA	6	NA	NA	1.Ejecutivo asignado para su empresa	3.Página Web Entel Empresas	NA	1.Ejecutivo asignado para su empresa	NA	NA	Sí	NA	Sí	Sí	No	No	6	NA	6	5	NA	NA	5	5	5	6	SI	Cobertura sin especificar,Señal de internet, se cae, lento	5	5	Sí	GGEE	serrv forestales	angol	Hombre	REGIONES	AV	GGEE	GRANDES CUENTAS	Móvil	Stock Movil
3VZPGF0sMStu	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	5	Mala atención	6	5	5	6	6	6	5	5	No	Si	No	Si	No	Si	NA	7. Muy Satisfecho	NA	5	NA	5	NA	2.Call center	NA	2.Call center	NA	2.Call center	NA	NA	Sí	No	No	No	NA	NA	4	NA	NA	NA	3	1. Muy Insatisfecho	5	6	SI	Facturación,Cobros poco claros,Problemas con cambio de planes	5	4	Sí	MICRO	CONSTRUCTORA	CONCEPCION	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
W4QA8ktupigf	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	7. Muy Satisfecho	Buena señal	7. En absoluto acuerdo	7. Muy Satisfecho	7. Muy Satisfecho	6	5	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	Sí	MEDIANA	arrendaroes de maquinarias	machali rancagua	Hombre	REGIONES	MP	Mediana	MEDIANAS	Móvil	Stock Movil
