encriptado	P3 Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 = Muy insatisfecho y 7 = Muy satisfecho, ¿Cuán satisfecho está usted con Entel?	P4 ¿Por qué evalúa con esa nota?	SEG_CORFO	Rubro	Ciudad_comuna	sex_enc	Regionx	SEG_GOL
vQOVyKFD2pdT	6	Lentas respuestas a solución de problemas	MICRO	SALUD	FREIRE	Hombre	REGIONES	Mas
bjejFNEMYNbt	7	Buena señal,Buenos precios / precios adecuados,No ha tenido problemas	MICRO	SISTEMAS HIDRAULICOS	SAN BERNARDO	Hombre	SANTIAGO	Mas
QWqkUZqgkjFt	7	Buen servicio / calidad servicio	MICRO	contabilidad	santiago	Hombre	SANTIAGO	Mas
sLEMJa1mx3hB	7	No ha tenido problemas,Buen servicio telefonico,Buen servicio internet,Rápida solución de problemas	MICRO	COMERCIALIZACIN DE INSUMO PARA COMESTICA Y PERFUMERIA	SANTIAGO CENTRO	Mujer	SANTIAGO	Mas
N47h6lopehNG	7	Buenos precios / precios adecuados	MICRO	construcción	Vitacura	Mujer	SANTIAGO	Mas
5xgZ4AAP0hWR	6	Mala señal,Malas señal telefónica	MICRO	TRANSPORTE	CAÑETE	Hombre	REGIONES	Mas
QOi1v2oSThO4	5	Mala señal	MICRO	PUBLICIDAD	SANTIAGO	Hombre	SANTIAGO	Mas
AqvJgyeOsgpM	7	Buen servicio / calidad servicio,Buen servicio / calidad servicio,Rápida solución de problemas	MICRO	PASTELERIA.	IQUIQUE.	Hombre	REGIONES	Mas
1fgbuxOHUuZb	5	Lentitud de plataforma	MICRO	no sabe	arica	Mujer	REGIONES	Mas
qHKUxJlnl3Zh	5	Mal servicio / calidad servicio	MICRO	PRODUCTOS Y ATENCION DE SALUD	LEBU	Hombre	REGIONES	Mas
Bh5gUNaDOrc3	7	Buena cobertura,No ha tenido problemas	MICRO	OTRAS ACTIVIDADES DE SERVICIOS  PERSONALES (NCP)	QUILICURA	Mujer	SANTIAGO	Mas
EHGZle5nrHgU	7	Buena cobertura,Buena señal	MICRO	No cuenta con empresa solo plan	Santiago	Mujer	SANTIAGO	Mas
s2T6dMiDoCNN	6	Mala cobertura	MICRO	ENTREGA DE SERVICIOS.	QUILPUE.	Mujer	REGIONES	Mas
xtnCfKs0Tmop	7	Buen servicio / calidad servicio	PEQUEÑA	VENTAS DE ARNÉS CORPORALES	SANTIAGO	Mujer	SANTIAGO	Mas
JD7yaHPxoknH	6	Mal servicio internet / señal	MICRO	Muebleria	La pintana	Hombre	SANTIAGO	Mas
XkfjTihP9kXn	4	Demora atención telefónica	PEQUEÑA	AGRICULTOR	ARICA	Mujer	REGIONES	Mas
