encriptado	P3 Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 = Muy insatisfecho y 7 = Muy satisfecho, ¿Cuán satisfecho está usted con Entel?	P4 ¿Por qué evalúa con esa nota?	SEG_CORFO	Rubro	Ciudad_comuna	sex_enc	Regionx	SEG_GOL
O3AtMjOvmWgM	7	No ha tenido problemas,Buena cobertura,Buen servicio / calidad servicio	PEQUEÑA	OBRAS MENORES	VILLA RICA	Hombre	REGIONES	MP
2ZQ9Dh1WA38b	6	Siempre se puede mejorar	PEQUEÑA	construccion y servicios	cerrillos	Hombre	SANTIAGO	Mas
Z6IKXCDwMP1C	5	Mala atención	PEQUEÑA	servicios	las condes	Hombre	SANTIAGO	Mas
jyq9p0yWlqdp	7	Buen servicio / calidad servicio	MEDIANA	FRAMACEUTICO.	LAS CONDES	Mujer	SANTIAGO	MV
hSlHO84FuW1v	7	Buen servicio / calidad servicio,Buenos planes	MEDIANA	LABORATORIO CALIBRASION DE INSTRUMENTOS	SANTIAGO	Mujer	REGIONES	MP
xxmiFR4c8SI7	5	Caro,Buen servicio / calidad servicio	PEQUEÑA	MINERO	ALTO AUSPICIO ,IQUIQUE	Mujer	SANTIAGO	Mas
sES47cIhHR8e	5	Mala cobertura	MEDIANA	COMUNICACIONES ,CANAL DE TV	VALPARAISO	Mujer	REGIONES	Mas
EHbp4XNBHWU6	4	Caro,Mala atención	PEQUEÑA	METAL MECANICO.	CORONEL	Hombre	REGIONES	Mas
4MctdnFUa6aS	5	Problemas con equipos / calidad /reposición /cambio	MEDIANA	RESTAURAN	PROVIDENCIA	Hombre	SANTIAGO	MasPrem
aNm2LXFfJiRK	7	No ha tenido problemas,Buena atencion	PEQUEÑA	INMOBILIARIA.	QUILLOTA.	Hombre	REGIONES	Mas
6WGHv2EPtsy2	6	Buena atencion,No ha tenido problemas	MEDIANA	mantención y reparacion de motocicletas	cala blanca quinta region	Hombre	REGIONES	Mas
pKBy81q3rrIu	6	Buen servicio / calidad servicio	GGEE	FORESTAL	LOS ANGELES	Hombre	REGIONES	AP
8D4iApSTPvgP	7	No ha tenido problemas,Rápida solución de problemas	PEQUEÑA	COMERCIO Y TRANSPORTE	TALCA	Mujer	REGIONES	Mas
1aJfzHNkDR6w	6	Mal servicio internet / señal	PEQUEÑA	MINERO	ANTOFAGASTA	Mujer	REGIONES	Mas
YIEOlxjCLOSg	7	Buen servicio / calidad servicio	PEQUEÑA	CONSULTORIA	LAS CONDES	Hombre	SANTIAGO	Mas
8CIdL8oFxnCQ	7	Buena conexión / conectividad,Buen servicio / calidad servicio	PEQUEÑA	COMERCIALIZADORA DE PRODUCTOS	QUILPUE	Hombre	REGIONES	Mas
EE7uV8oOiF4J	7	Rápida solución de problemas,Disponibilidad del ejecutivo,Buen servicio internet	MEDIANA	CARNICERIA	ESTAMOS EN TODA LA QUINTA REGION, LA CASA MATRIZ ESTA EN PELLOTA Y QUILPUE	Mujer	REGIONES	MP
I4KaWmb2svEe	5	Caro	PEQUEÑA	COMERCIAIZADORA	QUINTA NORMAL	Hombre	SANTIAGO	Mas
micdxTWxFqrR	7	No ha tenido problemas,Buena comunicación,Buen servicio / calidad servicio	GGEE	TELECOMUNICACIONES	SAN MIGUEL	Hombre	SANTIAGO	AV
vXhWcRtOKmUV	6	Buen servicio / calidad servicio,Mala señal,Mal servicio internet / señal	MEDIANA	MAESTRANZA MECANICA	CARDONAL BAJO PUERTO MONTT	Hombre	SANTIAGO	MV
2hHl7bUtgH5R	5	Mala señal	PEQUEÑA	PUBLICIDAD	LA FLORIDA Y LAS CONDES	Hombre	SANTIAGO	Mas
XRN7Q8U9DxFJ	6	Buena cobertura,Buena señal,Buena atencion,No ha tenido problemas	GGEE	supermecado	ovalle	Hombre	REGIONES	AP
mCh452wpBuF8	5	Cambios de planes arbitrarios	MEDIANA	PANIFICADORA	QUILLOTA	Hombre	REGIONES	MP
ydmoRqhhhVNf	3	Mal servicio internet / señal	MICRO	transporte	iquique	Hombre	REGIONES	Mas
Fj6ZtWixlZMC	7	Buen servicio / calidad servicio	PEQUEÑA	SELECCION DE PERSONAL	PROVIDENCIA	Mujer	SANTIAGO	Mas
ZnLJLkuslyBK	6	Siempre se puede mejorar	MICRO	SERVICIOS ODONTOLOGICOS	ÑUÑOA	Hombre	SANTIAGO	Mas
04HXKrvQ8Hvg	6	Mala cobertura	PEQUEÑA	AGRICOLA	NANCAGUA	Hombre	REGIONES	MP
mrDPi7TcgquA	5	Malas señal telefónica	MEDIANA	VENTA DE COMBUSTIBLES	TALAGANTE	Hombre	REGIONES	Mas
6XLtUYPobkxo	7	Buena atencion,Buen servicio internet	PEQUEÑA	DISTRIBUIDORA DE PRODUCTO QUIMICOS.	SANTIAGO, SAN JOAQUIN.	Mujer	SANTIAGO	Mas
X5mYHez8ldJw	5	Malas conexiones /conectividad	PEQUEÑA	TELECOMUNICACIONES	SAN MIGUEL	Mujer	SANTIAGO	Mas
oPKdNJ4KL3J2	5	Caro,Problemas con equipos / calidad /reposición /cambio	MEDIANA	SISTEMA DE AUTOMATIZACIÓN	SANTIAGO, CONCHALÍ	Hombre	SANTIAGO	MV
hbocG5MybLQ3	6	Problemas con equipos / calidad /reposición /cambio	PEQUEÑA	ASEO Y MANTENCION	PUERTO MONTT	Mujer	REGIONES	MP
w4VHrSMCFBjP	7	Buen servicio / calidad servicio,Buena cobertura	MEDIANA	ENERGIA SOLAR	SANTIAGO ,SAN BERNARDO	Hombre	SANTIAGO	MP
SoqCUqIQG4en	6	Buena cobertura,Buen servicio / calidad servicio	MICRO	CAPACITACION	PROVIDENCIA	Hombre	SANTIAGO	Mas
UPr2dAMiokp3	6	Mala cobertura	GGEE	contruccion	santiago	Hombre	SANTIAGO	MV
Q0w7ljlhAuo5	6	Caro,Problema facturación	PEQUEÑA	PROYECTOS METALURGICOS	SAN MIGUEL	Hombre	SANTIAGO	Mas
XEpz7bfBC6A5	6	Buen servicio / calidad servicio	PEQUEÑA	LUBRICENTRO	PEUMO	Hombre	REGIONES	Mas
VOLDHbzsAf7N	6	Lentitud de plataforma	PEQUEÑA	CONSTRUCCIÓN	CONCEPCIÓN	Hombre	REGIONES	MV
m9gedODL3bfb	6	Siempre se puede mejorar	MICRO	TECNOLOGIA	CONCEPCION	Hombre	REGIONES	Mas
G1HRS0A4dtoY	7	Buen servicio internet	MICRO	IMPORTACIONES Y DISTRIBUCION	VIÑA DEL MAR	Hombre	REGIONES	Mas
6KEwblu5hHUB	7	Buen servicio / calidad servicio,Buena señal	GGEE	contruccion	providencia	Mujer	SANTIAGO	AV
UqQqFH1ZaqfE	7	Buen servicio / calidad servicio	MEDIANA	Industria manufacturera	San Bernardo	Mujer	SANTIAGO	Mas
XRYckwjrSYHP	4	Mal servicio postventa,Cobros poco claros	PEQUEÑA	SEGURIDAD PRIVADA.	SANTIAGO CENTRO.	Hombre	SANTIAGO	Mas
m0j0JBpcCSQS	6	No ha tenido problemas,Buena atencion	MEDIANA	VENTA DE REPUESTOS DE TRACTOR	SANTIAGO	Mujer	SANTIAGO	Mas
Umh3EGq42Gcq	6	Buen servicio / calidad servicio	PEQUEÑA	PUBLICIDAD	LA GRANJA	Hombre	SANTIAGO	Mas
yEvgGamQBtaB	5	Mal servicio / calidad servicio	PEQUEÑA	Transporte	La pintana	Hombre	SANTIAGO	Mas
uNDjkgZ0PGtR	5	Caro	PEQUEÑA	Transporte por carretera	Molina	Mujer	SANTIAGO	Mas
5EspyiZhlu6g	7	Buena atencion,Disponibilidad del ejecutivo	MEDIANA	CONSTRUCTORA	CONCEPCION	Hombre	REGIONES	MP
riGB1Vb03TQe	6	Buena señal	MICRO	ASESORIA ADMINISTRATIVAS Y CONTABILIDADES	PEÑALOLEN	Mujer	SANTIAGO	Mas
2rONWKZoWzrw	7	Buen servicio / calidad servicio	MICRO	COMERCIO	SANTIAGO	Hombre	SANTIAGO	Mas
w5BKztKYysuf	7	Buena cobertura	PEQUEÑA	VENTA MENOR DE COMBUSTIBLE.	ÑUÑOA.	Hombre	SANTIAGO	AP
LKBTlr1lzqlw	7	No ha tenido problemas	MICRO	INMOBILIARIO	QUILLOTA	Hombre	REGIONES	Mas
hPrrgQvcbADJ	7	Buena señal	PEQUEÑA	insumos medicos	Santiago	Mujer	SANTIAGO	Mas
XFoI2KJXHG11	7	Buenos precios / precios adecuados	PEQUEÑA	TURISMO.	PICHILEMU.	Mujer	SANTIAGO	Mas
MjlMzzRANv9T	7	Buen servicio / calidad servicio	PEQUEÑA	restaurant y construccion	las condes santiago	Hombre	SANTIAGO	Mas
5dk8HOu3M2ue	7	Buena atencion,No ha tenido problemas	GGEE	FRUTAS Y VERDURAS	PEDRO AGUIRRE CERDA	Hombre	SANTIAGO	Mas
L9SQbEFQLxBT	3	Demora atención telefónica,Mala atención	GGEE	SERVICIOS DE ASISTENCIA COMERCIAL DE PRODUCTOS DE EXPORTACION	HUECHURABA	Mujer	SANTIAGO	AV
7kIa49RVUijR	3	Malas señal telefónica	MICRO	SERVICIOS MÉDICOS.	LOS ANGELES.	Mujer	REGIONES	MasPrem
8191rOWHO0dT	7	Buen servicio / calidad servicio,Buena conexión / conectividad,Disponibilidad del ejecutivo	MEDIANA	seguridad	Pudahuel	Mujer	SANTIAGO	MP
ojbUfZnNLkv4	6	Mala señal	PEQUEÑA	agrícola	la ligua	Hombre	REGIONES	AV
IyOXhaU5nBfs	5	Buen servicio / calidad servicio	GGEE	CONSTRUCCION	LAS CONDES	Mujer	SANTIAGO	MasPrem
PBmuAwnAheSI	6	Falta información	MICRO	SERVICIOS	SAN MIGUEL Y PROVIDENCIA	Hombre	SANTIAGO	MP
Bo3LSjgEfHkK	6	No Sabe/ No responde	PEQUEÑA	COMERCIALIZADORA	SANTIAGO	Hombre	SANTIAGO	Mas
TXEISJw3xpSN	7	Solucionan requerimientos,Buena señal,Rapida atencion ejecutivo	PEQUEÑA	INSUMOS PARA LA INDUSTRIA VINITILICOLA	RANCAGUA	Mujer	SANTIAGO	Mas
bNsF2Ld4po9b	6	Buen servicio / calidad servicio,No ha tenido problemas	PEQUEÑA	transporte de carga	santiago	Hombre	SANTIAGO	Mas
tZMbejUHTqyS	6	Buen servicio / calidad servicio	MEDIANA	AGRICOLA	HIJUELAS	Hombre	REGIONES	MV
duc4ZovfKYtP	6	Mal servicio internet / señal,Mala señal	PEQUEÑA	AREA DE ENCURTIDO, ELSBORACION DE PRODUCTOS AJI, PICLKE, ACEITUNAS Y FRUTOS SECOS.	COMUNA DE PEDRO AGUIRRE CERDA.CASA MATRIZ LA GRANJA.	Mujer	SANTIAGO	Mas
ZVUfGvlE5NnE	6	Buena conexión / conectividad	PEQUEÑA	INGENIERIA	LINARES	Hombre	REGIONES	Mas
EZ6BSGwpFIRM	5	Mala cobertura	GGEE	COMERCIALIZADORA.	LO BARNECHEA.	Hombre	SANTIAGO	Mas
Kq8Qp8Ga3gu7	7	Buen servicio / calidad servicio	GGEE	FONDAJE MINERO	COLINA	Hombre	SANTIAGO	AP
8jBE9mtBkicH	7	Buen servicio / calidad servicio	PEQUEÑA	combustible	septima region del maule	Hombre	REGIONES	Mas
eDkkXRgz7u03	5	Mala atención	MICRO	VENTAS DE ROPA DE NIÑOS	RECOLETA	Mujer	SANTIAGO	Mas
h7Kbv0kejIq7	7	Buen servicio / calidad servicio	GGEE	CONSTRUCCION	LAS CONDES	Hombre	SANTIAGO	AV
CwObNs0fFX7j	6	Caro	MICRO	ADMINISTRACION DE PROPIEDADES	IQUIQUE	Hombre	REGIONES	Mas
BpCg6fRM5MUj	5	Mala señal,Mal servicio internet / señal,Caro	PEQUEÑA	TRANSPORTE DE PASAJERO Y TURISMO.	SAN MIGUEL COMUNA SAN IGNACIO, CHILLAN.	Hombre	REGIONES	Mas
2WRm23jq5Gsm	2	Mal servicio / calidad servicio,Demora atención telefónica,Caro	MICRO	CAPACITACIÓN	CALAMA	Mujer	REGIONES	Mas
V2vmN86nEL4V	4	Mala señal	MICRO	Ingeneria en consulturia	Calama	Mujer	REGIONES	Mas
oKCgBGppfAoQ	5	Malas conexiones /conectividad	GGEE	corredores de seguros	las condes	Mujer	SANTIAGO	AV
Dh3Ywk4SQffl	6	Buena cobertura,Mal servicio / calidad servicio	PEQUEÑA	SERVICIOS DE CONTROL DE CALIDAD	LA FLORIDA	Hombre	SANTIAGO	Mas
aB5g8LTjDlzD	7	No ha tenido problemas,Solucionan requerimientos	PEQUEÑA	trasporte de carga	Carretera	Mujer	REGIONES	Mas
iwMrp9mTzjbc	7	Buen servicio / calidad servicio,Buena cobertura	MEDIANA	DESARROLLO DE SOFTWARE	SAN MIGUEL	Hombre	SANTIAGO	MP
6WcLyNv05Yn5	7	Buenos precios / precios adecuados,No ha tenido problemas	PEQUEÑA	CLINICA VETERINARIA.	QUILICURA	Hombre	SANTIAGO	Mas
OjQJBImxeFnR	6	Buena cobertura	MEDIANA	CONSTRUCCION Y ELECTRICIDAD	ANTOFAGASTA	Hombre	REGIONES	MP
pRHf6Hi0nHPF	3	Mal servicio postventa,Mala atencion con ejecutivos,Mal servicio / calidad servicio,No solucionan problemas	GGEE	AGRICOLA	CALERA DE TANGO	Mujer	SANTIAGO	Mas
HSbI8nxfvj7R	7	Buen servicio / calidad servicio,Facturación	GGEE	CONSTRUCCION	QUINTERO	Hombre	REGIONES	AV
vB8RiNXB0NvH	5	Mal servicio internet / señal,Malas señal telefónica	MICRO	TRANSPORTE	PAINE	Mujer	SANTIAGO	Mas
nxYLpv40C9Ec	4	Mal servicio internet / señal	MICRO	COMPRAS EXCEDENTES INDUSTRIALES	MAIPU	Hombre	SANTIAGO	Mas
jV8A5eGUx0Xt	7	Cumplen lo ofrecido,Buena comunicación,Buenos precios / precios adecuados	PEQUEÑA	VENTAS DE INSTRUMENTOS PARA LABORATORIOS	PEDRO AGUIRRE CERDA, SANTIAGO	Mujer	SANTIAGO	Mas
JpDrIXPDqX46	7	Buen servicio / calidad servicio,Buena cobertura,Buena atencion,Rápida solución de problemas	PEQUEÑA	CONSTRUCCION DE OBRAS D EINGENIERIA	LIMACHE	Hombre	REGIONES	Mas
0LtYGNUV0D3O	6	Mala señal	GGEE	RECURSOS HUMANOS	SAN MIGUEL	Hombre	SANTIAGO	AP
IIhSqaIIFYi1	7	No ha tenido problemas,Buena conexión / conectividad,Buena cobertura	PEQUEÑA	CONSTRUCCION	TEMUCO	Hombre	REGIONES	Mas
NG0tF98NSdgZ	5	Mala atención	PEQUEÑA	AUTOMOTRIZ	SANTIAGO CENTRO	Hombre	SANTIAGO	Mas
aBRa3raPfLUt	7	Buena conexión / conectividad,Buenos precios / precios adecuados	MEDIANA	CONSTRUCCION.	BUIN.	Hombre	SANTIAGO	MP
SFed9EnkeRPz	5	Mal servicio / calidad servicio	PEQUEÑA	mecánica industrial	lautaro	Hombre	REGIONES	Mas
7RqN9Rpdw7kQ	6	Mal servicio internet / señal	MEDIANA	procesos industriales	puerto montt	Mujer	REGIONES	MP
VIl9qyjgOqak	6	Mala señal,Buena atencion	PEQUEÑA	TRANSPORTES DE CARGA DE CARRETERA	TEMUCO	Mujer	REGIONES	Mas
GrgoQaRzGaOB	6	Mala cobertura	PEQUEÑA	consultoría	Santiago	Hombre	SANTIAGO	Mas
cJOqdYglijDE	6	Mala señal	GGEE	transporte	linares	Hombre	REGIONES	AP
pvyzySgg6Asp	7	Facturación	MEDIANA	CONSTRUCCION	SANTIAGO	Hombre	SANTIAGO	AV
s1njcQL8Ln1l	6	Mala cobertura	PEQUEÑA	servicios industriales electricos	curico	Hombre	REGIONES	Mas
DSMMZxmRTfn2	6	No ha tenido problemas,Caro	MICRO	diseño	santiago centro	Hombre	SANTIAGO	Mas
kDJkL6JhuPT7	7	Buena señal,Buen servicio / calidad servicio,Buenos precios / precios adecuados	PEQUEÑA	Venta mayorista de productos de carnicería y matadero	Puente alto.	Hombre	SANTIAGO	Mas
tvGl5hEydOZq	5	Buen servicio / calidad servicio	PEQUEÑA	VENTA DE ARTÍCULOS DEPORTIVOS	ALGAROOBO	Mujer	REGIONES	Mas
k11pO6kscQ2L	7	Buen servicio / calidad servicio,Buena cobertura,Buenos precios / precios adecuados	GGEE	ASEO INDUSTRIAL	RANCAGUA	Hombre	REGIONES	AP
JAmnsXemxGSE	6	Buen servicio / calidad servicio	PEQUEÑA	SALUD.	PEÑALOLÉN.	Mujer	SANTIAGO	Mas
KRGIrnfLFco1	6	Mala señal,Malas conexiones /conectividad,Buena atencion,Disponibilidad del ejecutivo	MEDIANA	CONSTRUCCION Y MONTAJE	ANTOFAGASTA	Mujer	REGIONES	AP
1KMzGfLvMDgb	6	Buen servicio / calidad servicio,No ha tenido problemas,Buena atención telefónica	PEQUEÑA	elaboración y producción de alimentos	santiago	Hombre	SANTIAGO	Mas
3BcsQZFTgibe	6	Mala atencion con ejecutivos	MICRO	TRANSPORTES	CHILLÁN	Hombre	REGIONES	Mas
jG1iGAzL7Udp	6	Mala señal	PEQUEÑA	TRANSPORTE	SAN BERNARDO	Mujer	SANTIAGO	Mas
ZyYa4b8D8X8G	7	Buena cobertura,Buena conexión / conectividad	PEQUEÑA	CONTRUCCION	SANTIAGO	Hombre	SANTIAGO	MP
vdfqiUqd5kgF	6	Mala atencion con ejecutivos	MEDIANA	DISTRIBUIDORA Y VENTA DE GAS LICUADO	ANTOFAGASTA	Hombre	REGIONES	Mas
aUUu5y5ol0Ke	1	Cobros poco claros	PEQUEÑA	TRANSPORTE DE CARGA.	ISLA DE MAIPO.	Hombre	SANTIAGO	Mas
ieEGWNqEU6PV	7	Buen servicio / calidad servicio	PEQUEÑA	VENTA DE ALIMENTOS DE MASCOTAS	VALDIVIA	Hombre	REGIONES	Mas
uTyUKTlPPgdG	4	Mal servicio / calidad servicio	PEQUEÑA	CONSTRUCCION	RANCAGUEA.	Hombre	REGIONES	Mas
bD3iDfE20AxH	5	Mala señal	MICRO	agencia publicidad	comuna de saavedra 9na region2	Hombre	REGIONES	Mas
vEPvtYYgaPZn	7	Buena señal,Buenos precios / precios adecuados	PEQUEÑA	PUBLICIDAD	SANTIAGO	Hombre	SANTIAGO	Mas
hl1hksHPtXBH	4	Caro,Mala cobertura	PEQUEÑA	PUBLICIDAD	LA FLORIDA, SANTIAGO	Hombre	SANTIAGO	Mas
ZeSicEgDcP9Q	6	No ha tenido problemas	PEQUEÑA	PROVEEDORES MINEROS	IQUIQUE	Hombre	REGIONES	Mas
mGcjKGaqcbSL	7	Buena señal,Buena comunicación	GGEE	VENTAS DE MAQUINARIA AGRÍCOLA.	SAN BERNARDO, SANTIAGO.	Hombre	SANTIAGO	MV
5PHZBVXVWNml	6	Mal servicio / calidad servicio	MEDIANA	AGENCIA DE PUBLICIDAD	PROVIDENCIA	Hombre	SANTIAGO	MP
Ty4XJy6oMQIT	7	Buen servicio / calidad servicio,Buena señal,No ha tenido problemas,Solucionan requerimientos	MICRO	GIMNASIO	COYHAIQUE	Hombre	REGIONES	Mas
kbovYAJZswb4	6	Buen servicio / calidad servicio	PEQUEÑA	CONSULTORIA.	LOBARNECHEA .	Hombre	SANTIAGO	Mas
PMOpNnzYS5UT	7	Buenos planes,Buen servicio / calidad servicio	PEQUEÑA	ÁREA DE CONSULTORÍA DE PROYECTOS	SANTIAGO	Hombre	SANTIAGO	Mas
Ncf1BHeH6Z7j	5	Buen servicio / calidad servicio	PEQUEÑA	Salud	Santiago, Vitacura.	Hombre	SANTIAGO	Mas
qhZI818NeArg	7	Buen servicio / calidad servicio,Facturación	GGEE	INFORMATICA	SANTIAGO CENTRO	Hombre	SANTIAGO	MP
Vd4otBwrsiAT	6	No ha tenido problemas,Siempre se puede mejorar	PEQUEÑA	INFORMATICA	PROVIDENCIA	Hombre	SANTIAGO	MV
UuA6S4nzBE84	6	Cambios de planes arbitrarios	MEDIANA	SERVECIO DE ENVASADO SDE ALIMENTOS	VALPARAISO CUIDA LOS ANDES	Mujer	REGIONES	MP
ui9erbNcMWXh	5	Mal servicio / calidad servicio	PEQUEÑA	FERRETERIA INDUSTRIAL Y SEGURIDAD INDUSTRIAL	COLINA	Mujer	SANTIAGO	Mas
25LD89MWaEBe	4	Mal servicio internet / señal,Problema facturación	PEQUEÑA	TRANSPORTE DE CARGA POR CARRETERA	SANTA CRUZ	Hombre	REGIONES	Mas
5pqcP6cV3jzD	5	Caro	PEQUEÑA	OFICINA DE ARQUITECTURA	TALCA, TALCA	Hombre	REGIONES	Mas
Gx5sqJ5ZBG8n	6	Caro	PEQUEÑA	TRANSPORTE.	PUDAHUEL	Mujer	SANTIAGO	Mas
BSrFyad8Wxx1	7	Buen servicio / calidad servicio,No ha tenido problemas	MEDIANA	IMPORTADORA	RENCA	Hombre	SANTIAGO	MP
Zo85mkiQGuTo	7	Buen servicio / calidad servicio	MICRO	CONSULTORIA	TALCA	Mujer	REGIONES	Mas
ZddOhDZ3208a	7	Buena atencion,Buen servicio / calidad servicio,No ha tenido problemas	MICRO	ASESORÍAS EMPRESARIALES	MAIPU	Hombre	SANTIAGO	Mas
Zuzsl0tS8SLk	7	Buena señal	PEQUEÑA	Transporte por carretera	Melipilla	Hombre	SANTIAGO	Mas
FKJrjWgu8N7c	6	Mala señal	MICRO	TRANSPORTE	QUILICURA	Mujer	SANTIAGO	Mas
4PkCLRe9WGI2	6	Buen servicio / calidad servicio,Caro	MEDIANA	SUPERMERCADO	CHILLAN, ÑUBLE	Hombre	REGIONES	Mas
1K39QbMihvXj	7	Buena señal,Buenos precios / precios adecuados	MICRO	ELECTRICIDAD	RANCAGUA	Hombre	REGIONES	Mas
cQIZ71NwkiZK	5	Demora atención telefónica	PEQUEÑA	CONSULTORIA	SANTIAGO,LAS CONDES.	Hombre	SANTIAGO	Mas
ySjvRIBFuuLD	4	Mala señal	PEQUEÑA	SERVICIOS. OBRAS CIVILES, ESTRUCTURA, AREAS VERDES, LOGISTICA.	NACIMIENTO. OCTAVA REGIÓN. BÍO BÍO.	Mujer	REGIONES	Mas
VUyh2RsS52gc	7	Buen servicio / calidad servicio	PEQUEÑA	No acepta responder	No acepta responder	Hombre	SANTIAGO	Mas
1RqpGRFlGhyn	7	Buen servicio / calidad servicio	PEQUEÑA	educacion	san pedro de la paz	Hombre	REGIONES	Mas
MeyvVfMeAKlB	6	Buen servicio / calidad servicio,Buena atencion	MEDIANA	Servicio Informatico	Santiago	Hombre	SANTIAGO	MV
micjcQyYdKUZ	6	Mala atencion con ejecutivos	MEDIANA	SUMINISTROS DE PERSONAL OUTSORCING	MAIPU	Hombre	SANTIAGO	AP
IQMHZp1uxpMm	7	Buena atencion,Rapida atencion ejecutivo	GGEE	servicios y publicidad	huechuraba	Mujer	SANTIAGO	MV
B1iHHQmiAl5Z	5	Malas señal telefónica	MICRO	INGENIERIA	COQUIMBO	Mujer	REGIONES	Mas
JtwtDfz3uIVY	7	Buen servicio / calidad servicio,No ha tenido problemas	GGEE	EXPORTACIONES.	PUERTO MONTT.	Mujer	REGIONES	Mas
pboLUDMBHXfW	5	Mal servicio / calidad servicio	PEQUEÑA	INGENIERIA ELECTRICA	VALPARAISO	Hombre	REGIONES	Mas
cxq6xmr6gN6d	6	Buen servicio / calidad servicio	PEQUEÑA	ASESORIA	ES TELETRABAJO, LA REGION METROPOLITANA	Mujer	REGIONES	Mas
VX1h7cQ1tpp0	7	Cumplen lo ofrecido	PEQUEÑA	INVERSIONES	SAN JAVIER	Hombre	REGIONES	Mas
lpDLtVnBJPqX	5	Mala señal	PEQUEÑA	inmobiliaria	Talagante	Hombre	SANTIAGO	Mas
FadGcyJ0hVEL	3	Mal servicio postventa	PEQUEÑA	CONSTRUCCION EN OBRAS CIVILES	CON CON	Hombre	REGIONES	MP
W0va3rZDOs98	7	Buen servicio / calidad servicio,No ha tenido problemas	PEQUEÑA	DESAROLLO DE SOFTWARE	PROVIDENCIA	Hombre	SANTIAGO	Mas
wxKWLnBrFGsN	4	Mal servicio internet / señal	MEDIANA	Contratista en mineria	Salamanca	Hombre	REGIONES	MP
tf1Rjeb6kapp	6	No ha tenido problemas,Buen servicio / calidad servicio	MEDIANA	Distribuidora de repuestos automotrices y servicios automotrices.	SANTIAGO lAS CONDES	Hombre	SANTIAGO	AV
QzyuZ1kU3V7D	6	Mala cobertura	PEQUEÑA	IMPORTACION PARA RESPUESTOS DE MAQUINARIAS	CONCEPCION	Hombre	REGIONES	Mas
QfVHhPkB31SB	6	Buena atencion,Caro	PEQUEÑA	TRANSPORTES	SANTIAGO , LA FLORIDA	Hombre	SANTIAGO	Mas
L80hMxkJLa4c	7	No ha tenido problemas	MEDIANA	SERVICIO DE ENVIOS Y EMBALAJE	CURICO	Mujer	REGIONES	MP
n7eTULrDN7sO	6	Buena cobertura	MICRO	RESTAURACION AUTOMOTRIZ	LA GRANJA	Hombre	SANTIAGO	Mas
PEpyQvyGPCOq	5	Problemas con equipos / calidad /reposición /cambio	PEQUEÑA	COMERCIALIZADORA DE MADERA	LOS ANGELES	Hombre	REGIONES	MP
6fvH1FYyRPVj	4	Mal servicio / calidad servicio,Mala atención	MEDIANA	ENERGIA RENOVABLE.	LAS CONDES.	Mujer	SANTIAGO	AV
OVHzHA38tVMa	7	No ha tenido problemas,Buena cobertura,Buena atencion	MEDIANA	TELECOMUNICACIONES	SAN MIGUEL	Hombre	SANTIAGO	MV
u92oeuCNlhaC	7	Buen servicio / calidad servicio	MEDIANA	TRANSPORTE	SANTIAGO	Mujer	SANTIAGO	Mas
ZMcy6viJHxsS	5	No Sabe/ No responde	PEQUEÑA	TRANSPORTE	LOS MUERMOS	Hombre	REGIONES	MP
SiETvE8Xax4y	5	Mal servicio internet / señal	MEDIANA	FRUTICOLA	NACAGUA	Mujer	REGIONES	MP
FqH17LmA193y	5	Mala señal,Rápida solución de problemas	PEQUEÑA	ASESORIA EN PREVENCION DE RIESGOS	PEÑAFL0R	Hombre	REGIONES	Mas
AhgYCBabWdrN	6	Buen servicio / calidad servicio	MEDIANA	TRASPORTE Y MOVIMIENTO DE TIERRA.	SAN BERNARDO	Hombre	SANTIAGO	AV
kagINPkChemw	7	Buen servicio / calidad servicio	MICRO	PRODUCTOS MEDICOS Y LABORATORIO	RANCAGUA	Hombre	REGIONES	Mas
7aYF5sBFGgCi	6	Falta información,Problema facturación	MICRO	SERVICIOS DE INGENIERIA Y MINERIA.	PROVIDENCIA	Hombre	SANTIAGO	Mas
tlcQQQccpwQZ	6	Buen servicio / calidad servicio,Malas conexiones /conectividad	MICRO	SERVICIO Y ASESORIA EN COMERCIO EXTERIOR	SANTIAGO, LAS CONDES	Mujer	SANTIAGO	Mas
m1QpVPxmzDJc	7	No ha tenido problemas,Buenos precios / precios adecuados	PEQUEÑA	CONTABILIDAD	SANTIAGO CENTRO.	Mujer	SANTIAGO	Mas
hOulEu8FIYCy	7	No ha tenido problemas	MICRO	RESIDENCIAL	RANCAGUA	Mujer	REGIONES	Mas
MqiMVpvy6wKb	4	Mal servicio / calidad servicio	MICRO	GESTION INMOBILIARIA E IMPECCIONES TECNICAS.	CONCEPCION.	Hombre	REGIONES	Mas
docrafYmgotT	6	Disponibilidad del ejecutivo	PEQUEÑA	SERVICIO TECNICO AUTOMOTRIZ	MAIPU	Hombre	SANTIAGO	MP
P48MsSmIcY3b	5	Malas conexiones /conectividad,Mala señal,Mal servicio internet / señal	PEQUEÑA	construccion	talca	Hombre	REGIONES	Mas
Aj38Dr5JwIJL	5	Caro	PEQUEÑA	CASINOS, CONCISIONES DE ALIMENTO UNIVERSITARIOS	PUENTE ALTO	Hombre	SANTIAGO	Mas
4niE0MeMPzmY	6	Caro	PEQUEÑA	INMOBILIARIA.	HUECHURABA	Mujer	SANTIAGO	Mas
